id,name,branch,address,district,cuisine,pricePerPerson,rating,review,recommendedDishes,visitDate,videoUrl,longitude,latitude,verificationStatus,updatedAt
linhong-chuancai-meiliancheng,林红川菜馆,美联城观店,武汉市江岸区城中村改造K4地块2号商业1层商6室,江岸区,川菜,78,mixed,多数菜品评价正面，口味较川菜更柔和、贴近武汉社区口味；凤爪肉偏少。店内只有一位厨师，出餐较慢，招牌菜也可能较早售罄。,回锅肉、蹄花烧凤爪、干烧小黄鱼、上汤苋菜,2026-06-10,https://www.bilibili.com/video/BV1APES6bErr,114.274198,30.632048,简介与视频口播已复核,2026-06-13
reson-charcoal-restaurant,炙响RESON·炭火料理餐厅,东方里店,武汉市洪山区欢乐大道168号东方里商业街S1栋1层1-4号,洪山区,西餐,288,mixed,当餐整体评价非常棒，炭火料理风味和烤鸡出品尤其突出。博主强烈提醒客多时可能出现出品与服务问题，并指出当日服务人手不足、卫生间维护不理想；建议控制在人均约200元点餐。,炭烤鸡皮紫苏爆香、烤牛舌、炭烤黄鱼、烤鸡黑松露蘑菇烩饭,2026-06-07,https://www.bilibili.com/video/BV1sgEH6DEgZ,114.363381,30.598309,简介与视频口播已复核,2026-06-13
amei-quanzhou-mianxianhu,阿美泉州面线糊,瑜樾东方店,武汉市光谷街瑜樾东方1层1-116号,洪山区,闽南小吃,36,recommended,面线糊又香又滑，浇头选择丰富且多数表现出色，整体基本不踩雷；本次猪肺口感偏老。面线糊5元起且可续，浇头另计。,面线糊、粉肠、五香卷、芋泥卷,2024-12-26,https://www.bilibili.com/video/BV1uaCaYWEGu,114.405969,30.503535,简介与视频口播已复核,2026-06-13
le-jardin-1911,乐花园LeJardin法式主题餐厅,大武汉1911店,武汉市江汉区新华路大武汉1911风情街B栋,江汉区,法餐,240,recommended,双人套餐332元，份量充足；另点法式青口148元，本次两人合计约480元。菲力牛排、鹅肝和海鲜烩饭评价突出，整体被明确推荐。周一、周二休息，注意避免跑空。,菲力牛排、鹅肝、法式青口、西班牙海鲜烩饭,2024-11-15,https://www.bilibili.com/video/BV1esmSYdEmL,114.262811,30.615241,简介与视频口播已复核,2026-06-13
bv1ukvm6dedk-1,潮膳卤水牛肉火锅(岳家嘴店),,武汉市洪山区徐东东湖别苑(欢乐大道南)8号,洪山区,火锅,,recommended,员外在武汉探访一家小众卤水火锅店，体验潮汕风味卤水锅底，搭配鹅肉、鲜切牛肉、粉干等食材，重点推荐果条与沙茶酱的创意搭配，两人套餐212元饱足感强，尤其鹅血、鹅肉丸和果条备受好评，适合喜爱卤香与独特口感的食客尝试。,果条与沙茶酱、两人套餐212元饱足感强、尤其鹅血、鹅肉丸和果条备受好评、适合喜爱卤香与独特口感,2026-06-03,https://www.bilibili.com/video/BV1UKVm6DEDk,114.365059,30.580211,AI摘要自动提取，待抽查,2026-06-13
bv1b45m6oe5i-1,贵州黔黔家地摊火锅,,武汉市江夏区南湖大道政院新村157号,江夏区,火锅,71,recommended,员外探访32元贵州风味自助火锅，人均71元，荤素不限量，现炒豆米酸菜锅底醇厚鲜香，含新鲜腰片、猪心、排骨、现杀鱼片等高品质食材，部分菜品口感极佳，性价比突出。店家另赠免费银耳汤，活动可抽2026元美食津贴，整体体验超出预期，值得推荐。,,2026-05-31,https://www.bilibili.com/video/BV1B45M6oE5i,114.384383,30.476303,AI摘要自动提取，待抽查,2026-06-13
bv1s4gm6veyy-1,雪峰岭烤肉(汉北水晶城店),,武汉市黄陂区环湖路汉北水晶城1期5-1门市,黄陂区,烤肉,,recommended,东北烤肉店推荐点小份，人均约70-80元，人均两人消费210元，点三肉两素两烤串。牛腰52元、牛肋条58元、大五花42元，均分量足且可选小份，搭配酸菜、腊八蒜及丰富小料台，强调服务员全程帮烤，肉质焦香多汁，适合2-4人小份共享，避免浪费且体验更佳。,点小份、人均约70-80元、人均两人消费210元、点三肉两素两烤串,2026-05-28,https://www.bilibili.com/video/BV1s4Gm6VEyY,114.349557,30.718438,AI摘要自动提取，待抽查,2026-06-13
bv1eel86xean-1,贛山炊江西小炒,,武汉市武昌区南湖街道龙湖·天玺,武昌区,江西菜,,mixed,员外探访一家江西小炒店，体验90元双人餐，包含萍乡小炒肉、炒鸡蛋、肉蛋炒粉及油浸鱼。菜品突出鲜辣与焦香，米粉根根分明、锅气十足，套餐分量扎实下饭，获点赞；唯油浸鱼口感一般，汤汁不足。整体评价高，推荐尝鲜，团购性价比优。,尝鲜、团购性价比优,2026-05-25,https://www.bilibili.com/video/BV1EeL86xEAn,114.341075,30.521025,AI摘要自动提取；高德POI已定位，待内容抽查,2026-06-13
bv1culh6aedr-1,侨家1960南洋菜(洞庭街店),,武汉市江岸区一元街道洞庭街34号外滩洞庭首府1层1号商铺,江岸区,南洋菜,,mixed,员外在新开的南阳南洋菜馆体验，推荐套餐制消费（154元两人，含九层糕、肉骨茶、烤串等），菜品口味丰富，如自制九层糕椰香浓郁、福建版肉骨茶醇厚可续汤，及泰式酸辣牛肋条、黄姜饭等，性价比高且适合多人分享。新店存在服务与出餐衔接待优化，建议顾客关注细节并反馈体验。,套餐制消费（154元两人、含九层糕、肉骨茶、烤串、菜品口味丰富、如自制九层糕椰香浓郁、福建版肉骨茶醇厚可续汤、泰式酸辣牛肋条,2026-05-22,https://www.bilibili.com/video/BV1cuLh6aEDr,114.298528,30.582268,AI摘要自动提取，待抽查,2026-06-13
bv1m8lp6aebk-1,釜延福,,武汉市江汉区北湖街街道西北湖路9号（王家墩东地铁站D1口步行450米）,江汉区,日式简餐,,mixed,员外探访新开一人食小馆，推荐5cm厚炸猪排饭，售价59元含肉酱饭和小菜，性价比突出。猪排低温慢煮后裹粉油炸，外酥内嫩，搭配美乃滋效果有限，但米饭与肉酱调味适口。另推荐26元辣糊糊土豆牛肉粒饭，牛肉入味弹润。店铺虽小但人气旺，建议厚切猪排爱好者尝试，但炸串质量一般，活动优惠需谨慎参与。,5cm厚炸猪排饭、售价59元含肉酱饭和小菜、性价比突出,2026-05-19,https://www.bilibili.com/video/BV1m8LP6AEbK,114.263288,30.594245,AI摘要自动提取，待抽查,2026-06-13
